Image,Classification,ROI: 0.33 µm per pixel: Hoechst: Mean,ROI: 0.33 µm per pixel: AF1: Mean,ROI: 0.33 µm per pixel: CD45: Mean,ROI: 0.33 µm per pixel: S100a: Mean,ROI: 0.33 µm per pixel: CD4: Mean,ROI: 0.33 µm per pixel: CD8a: Mean,ROI: 0.33 µm per pixel: FoxP3: Mean,ROI: 0.33 µm per pixel: PD1: Mean
LungImg1.ome.tif,CD4,4215.3262,2422.3333,1153.5652,236.3044,1761.8623,397.0435,303.8986,310.7681
LungImg1.ome.tif,CD8,5216.1206,1693.9146,1187.407,219.7236,446.1809,1475.1658,269.8543,346.8844
LungImg1.ome.tif,,3632.0967,3768.4099,1103.8567,253.46,843.8533,904.0233,256.8,323.8433
LungImg1.ome.tif,CD4,3411.0771,2284.6492,1319.2064,249.4801,2703.1865,534.0572,265.7363,279.6816
LungImg1.ome.tif,,2055.6313,2648.8699,619.4024,228.253,1497.6868,424,265.4771,267.2578
LungImg1.ome.tif,,5102.8594,1316.2148,997.4695,221.8329,535.3554,966.3077,269.7082,378.3899
LungImg1.ome.tif,,3083.7607,3957.291,848.3214,242.2964,1402.8875,772.7089,253.5571,424.5679
LungImg1.ome.tif,CD4,5731.1758,1693.7266,1272.8004,251.5349,2573.9441,544.5688,290.9122,363.6946
LungImg1.ome.tif,,5807.3521,1552.5615,989.9409,239.9803,641.6601,777.399,297.9163,423.569
LungImg1.ome.tif,CD4,3573.9956,2564.6196,904.9053,252.7759,2147.1475,374.9128,251.6602,275.5353
LungImg1.ome.tif,CD4,2618.668,1808.4213,939.9,242.7511,2036.4745,431.0659,274.483,353.783
LungImg1.ome.tif,CD4,5357.3472,2861.979,785.952,241.5355,2080.0442,374.7447,332.9424,289.8541
LungImg1.ome.tif,CD4: PD1,2383.3699,2628.937,1098.6461,245.5496,2364.5039,397.4933,258.5979,1424.4745
LungImg1.ome.tif,CD8,4968.1733,2002.5568,1245.2377,234.773,512.0985,1086.2827,313.257,255.4261
LungImg1.ome.tif,,2638.6172,5574.3413,683.1724,237.4483,1763.5482,337.6897,272.8552,291.5448
LungImg1.ome.tif,CD4,4162.6802,5294.5015,750.7994,234.5329,2020.1003,343.7868,299.4106,340.9498
LungImg1.ome.tif,CD8: PD1,2216.7341,4003.6108,955.0415,247.2257,579.7743,1230.371,229.9248,961.8158
LungImg1.ome.tif,CD4,3577.5923,2489.0154,972.6754,243.2723,1697.1877,319.9123,245.7769,257.5739
LungImg1.ome.tif,CD4,2189.2922,1831.6108,960.2359,252.2238,2116.7419,341.7742,226.5121,294.5665
LungImg1.ome.tif,CD4,4802.6353,2068.283,1068.6614,261.9661,2148.0957,405.4263,276.8426,273.1414
LungImg1.ome.tif,CD4: FoxP3,5009.5396,1944.9634,1216.1588,280.275,3044.6538,446.0672,2508.0652,283.4338
LungImg1.ome.tif,CD8,6354.2896,1626.224,1171.7186,246.8989,924.806,1103.0984,292.2568,295.5574
LungImg1.ome.tif,CD4: PD1,1417.35,1838.45,1049.537,252.3348,2114.0195,341.8304,259.9174,584.3892
