Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num Ki67,Num Ki67: PD1,Num PD1,Num touching,Num touching: Ki67,Num touching: Ki67: PD1,Num touching: PD1,Area µm^2,Perimeter µm
Tonsil_flip.ome.tif,c8d4a922-0037-450d-95eb-dc3509f3c744,Annotation,,,Root object (Image),Rectangle,1117.8,1038.7,85552,14991,863,4309,1960,2802,211,849,4644391.2,8626.2
Tonsil_flip.ome.tif,c6153c92-b00c-4d55-85a6-cd47b18dde3c,Annotation,,GC,Annotation,Polygon,2060.4,477.78,4587,1780,114,406,533,657,24,180,273914.7,2182.3
Tonsil_flip.ome.tif,1549d6dd-3a44-4a98-abd6-c63edd0748c3,Annotation,,TBMacs,Annotation (GC),Polygon,2176.6,117.28,0,0,0,0,0,0,0,0,1053.6,375.05
Tonsil_flip.ome.tif,573a51b5-d750-4423-ac1b-03828a355e36,Annotation,,TBMacs,Annotation (GC),Polygon,2192.1,418.4,0,0,0,0,0,0,0,0,883.87,271.05
Tonsil_flip.ome.tif,ad7ace37-8a45-4c27-afbf-59d838b753f3,Annotation,,TBMacs,Annotation (GC),Polygon,2139.3,531.06,0,0,0,0,0,0,0,0,814.69,268.45
Tonsil_flip.ome.tif,e992dc42-245e-4c27-81a9-9b869e62b4a3,Annotation,,TBMacs,Annotation (GC),Polygon,1958.3,402.12,0,0,0,0,0,0,0,0,641.36,274.95
Tonsil_flip.ome.tif,53667f23-408b-4164-b355-46e0f1466c75,Annotation,,TBMacs,Annotation (GC),Polygon,2057,345.26,0,0,0,0,0,0,0,0,628.68,192.4
Tonsil_flip.ome.tif,aac87cc9-3008-4e95-95d6-7e80e0e432ea,Annotation,,TBMacs,Annotation (GC),Polygon,2190.4,533.95,0,0,0,0,0,0,0,0,601.85,203.45
Tonsil_flip.ome.tif,9d5fa79b-385a-4c62-b6c4-89362ef5504a,Annotation,,TBMacs,Annotation (GC),Polygon,1966.6,779.94,0,0,0,0,0,0,0,0,585.06,261.95
Tonsil_flip.ome.tif,4295a29b-6e20-46cc-99be-aaded74c9f56,Annotation,,TBMacs,Annotation (GC),Polygon,2069,749.7,0,0,0,0,0,0,0,0,552.74,196.3
Tonsil_flip.ome.tif,d1b590cf-f500-488d-9108-7286f4ba02ed,Annotation,,TBMacs,Annotation (GC),Polygon,2027,724.7,0,0,0,0,0,0,0,0,550.1,183.95
Tonsil_flip.ome.tif,62efb887-dafe-4ba1-8ce4-c71d0fbf70e5,Annotation,,TBMacs,Annotation (GC),Polygon,1989.9,572.82,0,0,0,0,0,0,0,0,509.54,156.65
Tonsil_flip.ome.tif,697c05e7-ccb8-48fd-a0fd-8ceb3aae93b9,Annotation,,TBMacs,Annotation (GC),Polygon,2189.7,176.31,0,0,0,0,0,0,0,0,509.22,176.8
Tonsil_flip.ome.tif,8338e056-f635-4a66-ae89-897ab5760bdb,Annotation,,TBMacs,Annotation (GC),Polygon,1998.5,433.78,0,0,0,0,0,0,0,0,478.8,178.1
Tonsil_flip.ome.tif,0ae27fcf-6e1b-481a-b93c-8235a6031e9b,Annotation,,TBMacs,Annotation (GC),Polygon,2021.9,191.97,0,0,0,0,0,0,0,0,476.9,162.5
Tonsil_flip.ome.tif,b4cf8f35-77da-4284-963a-266c572ae584,Annotation,,TBMacs,Annotation (GC),Polygon,1964.7,300.76,0,0,0,0,0,0,0,0,476.47,204.75
